Indicator,Date,Measure,Area,Characteristic,Breakdown,Value,LCI,UCI,
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Persons,Aged 1 to 4 ,0,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Persons,Aged 5 to 9 ,0,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Persons,Aged 10 to 14 ,0,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Persons,Aged 15 to 19 ,0.3,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Persons,Aged 20 to 24 ,0.7,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Persons,Aged 25 to 29 ,1,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Persons,Aged 30 to 34 ,1.4,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Persons,Aged 35 to 39 ,2,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Persons,Aged 40 to 44 ,3.3,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Persons,Aged 45 to 49 ,5,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Persons,Aged 50 to 54 ,7.2,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Persons,Aged 55 to 59 ,9.4,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Persons,Aged 60 to 64 ,12.2,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Persons,Aged 65 to 69 ,14.8,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Persons,Aged 70 to 74 ,16.7,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Persons,Aged 75 to 79 ,18.3,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Persons,Aged 80 to 84 ,20.2,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Persons,Aged 85 to 89 ,20,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Persons,Aged 90 to 94 ,17.5,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Persons,Aged 95 and over ,12.9,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Male,Aged 1 to 4 ,0,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Male,Aged 5 to 9 ,0,[x],[x],
Diabetes prevalance by age and sex,2021/22,Percentage,Wales,Male,Aged 10 to 14 ,0,[x],[x],
